Questions,RESPONSES
my concern is regarding the food quality in the hostel mess?,"the quality of food in the mess is good, though naturally it cannot be compared with home-cooked meals. that’s why many hostellers make friends with day scholars who often share homemade food."
is food grade of hostel mess meeting the standard quality?,"the quality of food in the mess is good, though naturally it cannot be compared with home-cooked meals. that’s why many hostellers make friends with day scholars who often share homemade food."
i’m curious about the hygiene of hostel mess kitchen?,"the quality of food in the mess is good, though naturally it cannot be compared with home-cooked meals. that’s why many hostellers make friends with day scholars who often share homemade food."
what are the room conditions like in the hostel?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
what are the facilities provided in an average hostel room?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
what things are provided in the hostel room and are of what condition?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
are hostel rooms in proper condition to stay or live in?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
how many hostels are there in the university in total?,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
what is the total number of hostel buildings in the university?,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
could you kindly explain how many hostels are there in the university in total in detail?,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
how many girls and boys hostel are there in the university in total?,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
give me information about hostels.,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
when students are not allowed to wear trousers or shorts?,"during college timings, students are not allowed to wear lowers or shorts. in the mess and campus area, jeans are mandatory. however, on sundays and official holidays, students are allowed to wear trousers in the mess and around the campus."
what’s the rule regarding wearing trousers or shorts?,"during college timings, students are not allowed to wear lowers or shorts. in the mess and campus area, jeans are mandatory. however, on sundays and official holidays, students are allowed to wear trousers in the mess and around the campus."
could you kindly explain on what events students are not allowed to wear trousers or shorts in detail?,"during college timings, students are not allowed to wear lowers or shorts. in the mess and campus area, jeans are mandatory. however, on sundays and official holidays, students are allowed to wear trousers in the mess and around the campus."
are students allowed to wear trousers or shorts?,"during college timings, students are not allowed to wear lowers or shorts. in the mess and campus area, jeans are mandatory. however, on sundays and official holidays, students are allowed to wear trousers in the mess and around the campus."
"are hostel outings allowed, and if yes, on which days?","generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
what’s the rule regarding are hostel outings?,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
"could you kindly explain are hostel outings allowed, and if yes, on which days in detail?","generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
on which days are students allowed to go out?,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
give me information about which days are outings allowed.,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
is ragging prohibited inside the hostel premises?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
what’s the rule regarding ragging inside the hostel premises?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
could you kindly explain if ragging is prohibited or not inside the hostel premises in detail?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
what are the ragging scenes in the hostels?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
what kinds of events are organized for hostellers?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
what hostel events take place throughout the year?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
how many hostel events are organized in total ?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
give me information about hostel events / events organized for hostellers?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
is staying in the hostel better than living in a pg?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
how is staying in the hostel better than living in a pg?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
could you kindly explain what are th pros and cons of staying in the hostel than living in a pg in detail?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
i want to know if is staying in the hostel is more beneficial than living in a pg?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
who can become the hostel dcs (discipline coordinators)?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
what’s the rule regarding becoming the hostel dcs (discipline coordinators)?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
could you kindly explain how hostel dcs (discipline coordinators) are selected?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
what is the criteria for becoming hostel dc?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
what is the hostel’s daily in-time for students?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
 in the evening, students are allowed outside only till 9:00 pm.
 after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
what’s the rule regarding what is the hostel’s daily in-time for students?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
 in the evening, students are allowed outside only till 9:00 pm.
 after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
what is the closing time of the hostel?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
 in the evening, students are allowed outside only till 9:00 pm.
 after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
unitil what time can students get inside the hostel?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
 in the evening, students are allowed outside only till 9:00 pm.
 after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
"are electrical appliances (like kettles, heaters, or irons) allowed in rooms?","no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
"what’s the rule regarding electrical appliances (like kettles, heaters, or irons) in rooms?","no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
could you kindly explain what electrical appliances are allowed in rooms in detail?,"no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
what if i bring any electrical appliance inside hostel room?,"no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
how is the cleanliness and hygiene maintained in the hostel premises?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
what’s the rule regarding hygiene maintainance in the hostel premises?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
how clean are the hostel buildings?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
are there any facilities for laundry inside the hostel?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
what’s the rule regarding laundry inside the hostel?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
could you kindly explain are there any facilities for laundry inside the hostel in detail?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
how can i avail laundry facility inside the hostel?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
"what kind of security arrangements are there in the hostel (cctv, guards, biometric, etc.)?","the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
is the hostel premises secure?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
could you kindly explain in detail that how security is handled in the hostel?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
does hostel buildings have enough guards and cameras?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
"give me information about what kind of security arrangements are there in the hostel (cctv, guards, biometric, etc.).","the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
are visitors or guests allowed in hostel rooms?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
what’s the rule regarding visitors or guests in hostel rooms?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
are friends allowed to visit hostel?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
is there a study room or reading hall available in the hostel?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
where is the study room located in the hostel?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
is there a reading hall in the hostel?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
"does the hostel provide wi-fi, and how is the speed/availability?","yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
what about wifi availablity in hostel?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
is there a proper internet in hostel?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
internet information in hostel?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
are there rules about using mobile phones or laptops in the hostel?,"yes, mobile phones are not allowed during the evening attendance. apart from that, students are free to use their mobiles and laptops in their rooms."
what’s the rule regarding the use of mobile phones or laptops in the hostel?,"yes, mobile phones are not allowed during the evening attendance. apart from that, students are free to use their mobiles and laptops in their rooms."
are sports or recreation facilities available for hostel students?,"yes, hostel students can use the campus sports facilities such as basketball, volleyball, football, and cricket."
what sports or recreation facilities are available for hostel students?,"yes, hostel students can use the campus sports facilities such as basketball, volleyball, football, and cricket."
how is the interaction between seniors and juniors inside the hostel?,"the interaction between seniors and juniors is very positive. seniors are supportive and helpful, while juniors are expected to respect their seniors and take advice related to academics and college behavior."
what’s the rule regarding how is the interaction between seniors and juniors inside the hostel?,"the interaction between seniors and juniors is very positive. seniors are supportive and helpful, while juniors are expected to respect their seniors and take advice related to academics and college behavior."
what should be kept in mind while interacting with different year students in hostel?,"the interaction between seniors and juniors is very positive. seniors are supportive and helpful, while juniors are expected to respect their seniors and take advice related to academics and college behavior."
give me information about how is the interaction between seniors and juniors inside the hostel.,"the interaction between seniors and juniors is very positive. seniors are supportive and helpful, while juniors are expected to respect their seniors and take advice related to academics and college behavior."
what fines are imposed if hostel rules are broken?,"all electrical appliances (except laptops and phones), harmful items, unpacked food, and non-vegetarian food are strictly restricted inside the hostel."
what’s the rule regarding what fines are imposed if hostel rules are broken?,"all electrical appliances (except laptops and phones), harmful items, unpacked food, and non-vegetarian food are strictly restricted inside the hostel."
could you kindly explain what fines are imposed if hostel rules are broken in detail?,"all electrical appliances (except laptops and phones), harmful items, unpacked food, and non-vegetarian food are strictly restricted inside the hostel."
"i’m curious, what fines are imposed if hostel rules are broken?","all electrical appliances (except laptops and phones), harmful items, unpacked food, and non-vegetarian food are strictly restricted inside the hostel."
give me information about what fines are imposed if hostel rules are broken.,"all electrical appliances (except laptops and phones), harmful items, unpacked food, and non-vegetarian food are strictly restricted inside the hostel."
where is the media room located?,"t-block /academic block 1, first floor, to the left."
give me information about the location of media room.,"t-block /academic block 1, first floor, to the left."
where is the chief proctor’s office located?,"academic block 3, first floor, next to room number 33."
tell what is the location of the chief proctor’s office.,"academic block 3, first floor, next to room number 33."
whom to refer for any erp concern?,"erp coordinator is mr. akash sanghi, cabin in room number 48."
who deals with erp issues?,"erp coordinator is mr. akash sanghi, cabin in room number 48."
could you kindly explain whom to refer for any erp concern in detail?,"erp coordinator is mr. akash sanghi, cabin in room number 48."
"i’m curious, whom to refer for any erp concern?","erp coordinator is mr. akash sanghi, cabin in room number 48."
give me information about whom to refer for any erp concern.,"erp coordinator is mr. akash sanghi, cabin in room number 48."
how can i stay updated about events and their information?,"event updates are generally provided in your official whatsapp group chats and also reflect on erp , but here are the listed events for this session."
what’s the rule regarding events and their information updation?,"event updates are generally provided in your official whatsapp group chats and also reflect on erp , but here are the listed events for this session."
"where can i check for events, updates?","event updates are generally provided in your official whatsapp group chats and also reflect on erp , but here are the listed events for this session."
whom should i contact in case of an emergency?,"contact the class incharge first, in case of abcence contact the head of the department . or in case of mild issues, you can always head to the medical room which is located in front of the transport office, near the admin building."
what’s the rule regarding emergencies?,"contact the class incharge first, in case of abcence contact the head of the department . or in case of mild issues, you can always head to the medical room which is located in front of the transport office, near the admin building."
where should i go in case of an injury ?,"contact the class incharge first, in case of abcence contact the head of the department . or in case of mild issues, you can always head to the medical room which is located in front of the transport office, near the admin building."
where should i be submitting my medical application?,it must be submitted in the department which is then passed to chief proctor sir and then to the examination center as well.
whom should i be submitting my medical application to?,it must be submitted in the department which is then passed to chief proctor sir and then to the examination center as well.
do i need to submit medical application in case of leave?,it must be submitted in the department which is then passed to chief proctor sir and then to the examination center as well.
what are the basic rules inside the classrooms?,"students are expected to be on time, and show up in proper uniform, the aintainace of discipline and formal environment is considered proffessional and exactly apt for the university level students."
what behaviour is not allowed inside the classroom?,"students are expected to be on time, and show up in proper uniform, the aintainace of discipline and formal environment is considered proffessional and exactly apt for the university level students."
could you kindly explain what are the basic rules inside the classrooms in detail?,"students are expected to be on time, and show up in proper uniform, the aintainace of discipline and formal environment is considered proffessional and exactly apt for the university level students."
"i’m curious, what are the basic rules inside the classrooms?","students are expected to be on time, and show up in proper uniform, the aintainace of discipline and formal environment is considered proffessional and exactly apt for the university level students."
give me information about what are the basic rules inside the classrooms.,"students are expected to be on time, and show up in proper uniform, the aintainace of discipline and formal environment is considered proffessional and exactly apt for the university level students."
what are the basic library rules?,"the one very important rule of the library is maintaining the quiet, secondly, the students are not allowed to take their own textbooks inside the library. no student should sit in the library just for hanging around, missing their lectures."
could you explain the basic library regulations?,"the one very important rule of the library is maintaining the quiet, secondly, the students are not allowed to take their own textbooks inside the library. no student should sit in the library just for hanging around, missing their lectures."
what guidelines should i follow inside the library?,"the one very important rule of the library is maintaining the quiet, secondly, the students are not allowed to take their own textbooks inside the library. no student should sit in the library just for hanging around, missing their lectures."
what are the dos and don’ts in the library?,"the one very important rule of the library is maintaining the quiet, secondly, the students are not allowed to take their own textbooks inside the library. no student should sit in the library just for hanging around, missing their lectures."
can you tell me the library rules in detail?,"the one very important rule of the library is maintaining the quiet, secondly, the students are not allowed to take their own textbooks inside the library. no student should sit in the library just for hanging around, missing their lectures."
where can i get medicine from within the campus?,"you can either ask your class incharge for help or visit the medical room located near the entrance gate of the university opposite to the admin, adjacent to the e-library."
could you explain where can i get medicine from within the campus?,"you can either ask your class incharge for help or visit the medical room located near the entrance gate of the university opposite to the admin, adjacent to the e-library."
what guidelines should i follow regarding where can i get medicine from within the campus?,"you can either ask your class incharge for help or visit the medical room located near the entrance gate of the university opposite to the admin, adjacent to the e-library."
what are the dos and don’ts about where can i get medicine from within the campus?,"you can either ask your class incharge for help or visit the medical room located near the entrance gate of the university opposite to the admin, adjacent to the e-library."
can you tell me where can i get medicine from within the campus in detail?,"you can either ask your class incharge for help or visit the medical room located near the entrance gate of the university opposite to the admin, adjacent to the e-library."
whom should i talk to regarding feministic security in case of being attempted violation in any terms?,"first, inform the class incharge and then you can surely report to the chief proctor about the incident."
could you explain whom should i talk to regarding feministic security in case of being attempted violation in any terms?,"first, inform the class incharge and then you can surely report to the chief proctor about the incident."
what guidelines should i follow regarding whom should i talk to regarding feministic security in case of being attempted violation in any terms?,"first, inform the class incharge and then you can surely report to the chief proctor about the incident."
what are the dos and don’ts about whom should i talk to regarding feministic security in case of being attempted violation in any terms?,"first, inform the class incharge and then you can surely report to the chief proctor about the incident."
can you tell me whom should i talk to regarding feministic security in case of being attempted violation in any terms in detail?,"first, inform the class incharge and then you can surely report to the chief proctor about the incident."
what is official introduction with seniors in invertis university?,"official introduction with seniors in invertis university is a friendly interaction between the juniors/ the freshers and the immediate seniors, it could be considered an icebraking session which helps in not only promoting friendly atmosphere in the university but also, helps in knowing the overall atmosphere with a better understanding."
could you explain what is official introduction with seniors in invertis university?,"official introduction with seniors in invertis university is a friendly interaction between the juniors/ the freshers and the immediate seniors, it could be considered an icebraking session which helps in not only promoting friendly atmosphere in the university but also, helps in knowing the overall atmosphere with a better understanding."
what guidelines should i follow regarding what is official introduction with seniors in invertis university?,"official introduction with seniors in invertis university is a friendly interaction between the juniors/ the freshers and the immediate seniors, it could be considered an icebraking session which helps in not only promoting friendly atmosphere in the university but also, helps in knowing the overall atmosphere with a better understanding."
what are the dos and don’ts about what is official introduction with seniors in invertis university?,"official introduction with seniors in invertis university is a friendly interaction between the juniors/ the freshers and the immediate seniors, it could be considered an icebraking session which helps in not only promoting friendly atmosphere in the university but also, helps in knowing the overall atmosphere with a better understanding."
can you tell me what is official introduction with seniors in invertis university in detail?,"official introduction with seniors in invertis university is a friendly interaction between the juniors/ the freshers and the immediate seniors, it could be considered an icebraking session which helps in not only promoting friendly atmosphere in the university but also, helps in knowing the overall atmosphere with a better understanding."
can other class students be hanging around during breaks in our class?,"other department students are simply not allowed into each other's classes for cetain reasons. but, friends from different classes, departments, cources and years could surely interact in the campus at locations other than classrooms."
could you explain can other class students be hanging around during breaks in our class?,"other department students are simply not allowed into each other's classes for cetain reasons. but, friends from different classes, departments, cources and years could surely interact in the campus at locations other than classrooms."
what guidelines should i follow regarding can other class students be hanging around during breaks in our class?,"other department students are simply not allowed into each other's classes for cetain reasons. but, friends from different classes, departments, cources and years could surely interact in the campus at locations other than classrooms."
what are the dos and don’ts about can other class students be hanging around during breaks in our class?,"other department students are simply not allowed into each other's classes for cetain reasons. but, friends from different classes, departments, cources and years could surely interact in the campus at locations other than classrooms."
can you tell me can other class students be hanging around during breaks in our class in detail?,"other department students are simply not allowed into each other's classes for cetain reasons. but, friends from different classes, departments, cources and years could surely interact in the campus at locations other than classrooms."
is it alllowed to be in other academic block just for the using washrooms?,"roaming around in other blocks is not allowed in the university but, it could be ignored during the urgencies."
could you explain is it alllowed to be in other academic block just for the using washrooms?,"roaming around in other blocks is not allowed in the university but, it could be ignored during the urgencies."
what guidelines should i follow regarding is it alllowed to be in other academic block just for the using washrooms?,"roaming around in other blocks is not allowed in the university but, it could be ignored during the urgencies."
what are the dos and don’ts about is it alllowed to be in other academic block just for the using washrooms?,"roaming around in other blocks is not allowed in the university but, it could be ignored during the urgencies."
can you tell me is it alllowed to be in other academic block just for the using washrooms in detail?,"roaming around in other blocks is not allowed in the university but, it could be ignored during the urgencies."
which side is boys washroom and which side is girls washroom?,from the main entrance of academic block 3 - boys washroom is on the left side at the end of the corridor at the ground floor and girls washroom is at the right side at the end of the corridor at the ground floor.
could you explain which side is boys washroom and which side is girls washroom?,from the main entrance of academic block 3 - boys washroom is on the left side at the end of the corridor at the ground floor and girls washroom is at the right side at the end of the corridor at the ground floor.
what guidelines should i follow regarding which side is boys washroom and which side is girls washroom?,from the main entrance of academic block 3 - boys washroom is on the left side at the end of the corridor at the ground floor and girls washroom is at the right side at the end of the corridor at the ground floor.
what are the dos and don’ts about which side is boys washroom and which side is girls washroom?,from the main entrance of academic block 3 - boys washroom is on the left side at the end of the corridor at the ground floor and girls washroom is at the right side at the end of the corridor at the ground floor.
can you tell me which side is boys washroom and which side is girls washroom in detail?,from the main entrance of academic block 3 - boys washroom is on the left side at the end of the corridor at the ground floor and girls washroom is at the right side at the end of the corridor at the ground floor.
what are the rules regarding uniform including shoes?,"uniforms are compulsorily to be worn on the week days except wednesdays and saturdays , proper uniform is provided after admission which includes two pairs with each pair consisting of a pants and a shirt, other than this a blazer and a tie is also provided plus, identity card provided by the university are to be carried even on the casual wearing days."
could you explain what are the rules regarding uniform including shoes?,"uniforms are compulsorily to be worn on the week days except wednesdays and saturdays , proper uniform is provided after admission which includes two pairs with each pair consisting of a pants and a shirt, other than this a blazer and a tie is also provided plus, identity card provided by the university are to be carried even on the casual wearing days."
what guidelines should i follow regarding what are the rules regarding uniform including shoes?,"uniforms are compulsorily to be worn on the week days except wednesdays and saturdays , proper uniform is provided after admission which includes two pairs with each pair consisting of a pants and a shirt, other than this a blazer and a tie is also provided plus, identity card provided by the university are to be carried even on the casual wearing days."
what are the dos and don’ts about what are the rules regarding uniform including shoes?,"uniforms are compulsorily to be worn on the week days except wednesdays and saturdays , proper uniform is provided after admission which includes two pairs with each pair consisting of a pants and a shirt, other than this a blazer and a tie is also provided plus, identity card provided by the university are to be carried even on the casual wearing days."
can you tell me what are the rules regarding uniform including shoes in detail?,"uniforms are compulsorily to be worn on the week days except wednesdays and saturdays , proper uniform is provided after admission which includes two pairs with each pair consisting of a pants and a shirt, other than this a blazer and a tie is also provided plus, identity card provided by the university are to be carried even on the casual wearing days."
what if i get my identity card submitted due to certain reason?,"in case the id was submitted to a teacher you can recollect from the respective teacher within a time period otherwise, individual must report to the chief proctor office inorder to recollect the id card."
could you explain what if i get my identity card submitted due to certain reason?,"in case the id was submitted to a teacher you can recollect from the respective teacher within a time period otherwise, individual must report to the chief proctor office inorder to recollect the id card."
what guidelines should i follow regarding what if i get my identity card submitted due to certain reason?,"in case the id was submitted to a teacher you can recollect from the respective teacher within a time period otherwise, individual must report to the chief proctor office inorder to recollect the id card."
what are the dos and don’ts about what if i get my identity card submitted due to certain reason?,"in case the id was submitted to a teacher you can recollect from the respective teacher within a time period otherwise, individual must report to the chief proctor office inorder to recollect the id card."
can you tell me what if i get my identity card submitted due to certain reason in detail?,"in case the id was submitted to a teacher you can recollect from the respective teacher within a time period otherwise, individual must report to the chief proctor office inorder to recollect the id card."
what if i get my phone submitted during class?,either request the teacher for the same within the time limit or you will have to collect it from chief proctor office.
could you explain what if i get my phone submitted during class?,either request the teacher for the same within the time limit or you will have to collect it from chief proctor office.
what guidelines should i follow regarding what if i get my phone submitted during class?,either request the teacher for the same within the time limit or you will have to collect it from chief proctor office.
what are the dos and don’ts about what if i get my phone submitted during class?,either request the teacher for the same within the time limit or you will have to collect it from chief proctor office.
can you tell me what if i get my phone submitted during class in detail?,either request the teacher for the same within the time limit or you will have to collect it from chief proctor office.
how can i get my marksheet for each year and how much important it is to get the same?,"marksheet for each year could be collected from examination centre by submitting an application there, the procedure might be timetaking hence you must take the margin and keep reporting if asked. it is always better to be having a complete throughout results of your achievements and accomplishments which is sometimes a major requirement for specific industry roles."
could you explain how can i get my marksheet for each year and how much important it is to get the same?,"marksheet for each year could be collected from examination centre by submitting an application there, the procedure might be timetaking hence you must take the margin and keep reporting if asked. it is always better to be having a complete throughout results of your achievements and accomplishments which is sometimes a major requirement for specific industry roles."
what guidelines should i follow regarding how can i get my marksheet for each year and how much important it is to get the same?,"marksheet for each year could be collected from examination centre by submitting an application there, the procedure might be timetaking hence you must take the margin and keep reporting if asked. it is always better to be having a complete throughout results of your achievements and accomplishments which is sometimes a major requirement for specific industry roles."
what are the dos and don’ts about how can i get my marksheet for each year and how much important it is to get the same?,"marksheet for each year could be collected from examination centre by submitting an application there, the procedure might be timetaking hence you must take the margin and keep reporting if asked. it is always better to be having a complete throughout results of your achievements and accomplishments which is sometimes a major requirement for specific industry roles."
can you tell me how can i get my marksheet for each year and how much important it is to get the same in detail?,"marksheet for each year could be collected from examination centre by submitting an application there, the procedure might be timetaking hence you must take the margin and keep reporting if asked. it is always better to be having a complete throughout results of your achievements and accomplishments which is sometimes a major requirement for specific industry roles."
what should be the proper format for informing if i had to miss class due to some genuine reason?,you can inform the respective subject teacher or connect with the cr/dc for the message being passed to the respective faculty member.
could you explain what should be the proper format for informing if i had to miss class due to some genuine reason?,you can inform the respective subject teacher or connect with the cr/dc for the message being passed to the respective faculty member.
what guidelines should i follow regarding what should be the proper format for informing if i had to miss class due to some genuine reason?,you can inform the respective subject teacher or connect with the cr/dc for the message being passed to the respective faculty member.
what are the dos and don’ts about what should be the proper format for informing if i had to miss class due to some genuine reason?,you can inform the respective subject teacher or connect with the cr/dc for the message being passed to the respective faculty member.
can you tell me what should be the proper format for informing if i had to miss class due to some genuine reason in detail?,you can inform the respective subject teacher or connect with the cr/dc for the message being passed to the respective faculty member.
what are the responsibilities of cr and dc?,"the cr and dc are sincerely there to help the class fellows with almost every trouble from petty to big , any if they are facing. they are a connection between the college informations an students and help maintaining the decorum of the respective classes."
could you explain what are the responsibilities of cr and dc?,"the cr and dc are sincerely there to help the class fellows with almost every trouble from petty to big , any if they are facing. they are a connection between the college informations an students and help maintaining the decorum of the respective classes."
what guidelines should i follow regarding what are the responsibilities of cr and dc?,"the cr and dc are sincerely there to help the class fellows with almost every trouble from petty to big , any if they are facing. they are a connection between the college informations an students and help maintaining the decorum of the respective classes."
what are the dos and don’ts about what are the responsibilities of cr and dc?,"the cr and dc are sincerely there to help the class fellows with almost every trouble from petty to big , any if they are facing. they are a connection between the college informations an students and help maintaining the decorum of the respective classes."
can you tell me what are the responsibilities of cr and dc in detail?,"the cr and dc are sincerely there to help the class fellows with almost every trouble from petty to big , any if they are facing. they are a connection between the college informations an students and help maintaining the decorum of the respective classes."
what parts should my assignments include?,"the assignments usually include the topics taught in the classes hence it could always be done with the help of notes provided, notes made during classes and most importantly, they must be tidy."
